Posición,Jinete,Caballo,Puntos,Tiempo,Puntos fase II,Tiempo fase II
50,Lily Attwood,Apart Z,0,47.49,4,38.29
51,Alexander Mclean,Corneliuss,0,45.92,8,25.89
52,Sammie Jo Coffin,Cornet Of Follyfoot,0,44.59,8,27.45
53,Lance Whitehouse,Superstar,0,46.23,8,30.76
54,Cate Kerr,Kolwa,0,46.19,8,30.87
55,Lance Whitehouse,Kluidini,0,49.91,8,31.34
56,Jonathon Buxton,Strides Josie,0,48.37,,
56,Alexander Mclean,Don Viepar,0,46.48,,
58,Ignacio Caba Guil,Secret Sunset,1,50.46,,
59,Carron Nicol,Rrh Out of the Blue,4,43.10,,
60,Jack Stirling,Crunchie OS,4,45.74,,
61,Ignacio Caba Guil,Flying Star,4,45.78,,
62,Lottie Tutt,Billy Dynamite,4,46.00,,
63,Leo Lamb,Chrysler Key SR,4,46.09,,
64,Emma Crawford,King Louie,4,46.25,,
65,Emily Fisher,Ivanta,4,46.31,,
66,Holly Smith,Market M'Dam,4,46.43,,
67,Fergal Holohan,Karima,4,47.04,,
68,Trevor Breen,Drewmain Musachino,4,47.08,,
69,Francesca Corich Van Der Bas,Bannockburn Ecph,4,47.11,,
69,Alex Barr,New Star Hbf,4,47.11,,
71,Mark Edwards,Dillinger NE,4,47.16,,
72,Keith Shore,Betty K,4,47.28,,
73,Joseph Stockdale,Do It Rollebeek Z,4,47.40,,
74,Fergal Holohan,Ces Celtic Son,4,47.51,,
75,Annabel Shields,Castlefield Ice,4,47.54,,
76,John Whitaker,Cornets Olona,4,47.60,,
77,Jodie Hall Mcateer,Topaz Ice Z,4,47.75,,
78,Joseph Stockdale,Nucarla,4,47.91,,
79,Christopher Smith,Messarado Blue,4,47.99,,
80,Gregory Hill,Jackblack,4,48.09,,
81,Leo Lamb,Las Palmas VG,4,48.12,,
82,Sophie Slater,Cool March,4,48.27,,
83,Alfie Diaper,Labatt,4,48.53,,
84,Sally Goding,Vivalgot,4,48.91,,
85,Greg Le Gear,Be Aquila,4,49.57,,
86,Kathryn Ellison,Tudor Lough,8,45.93,,
87,Leah Knowles,Dirk,8,46.12,,
88,Paul Crago,Compton Mills,8,46.28,,
89,Carron Nicol,Dolomite Z,8,46.69,,
90,Angelie Von Essen,One Oscar,8,47.50,,
91,Michael Tuff,Mozart van het Netehof,11,52.27,,
92,Laura Mantel,Calcourt Clear Gold,12,48.19,,
93,J P Daker,Cortez Van'T Amaryllishof Z,17,50.11,,
94,Miles Jon O'Donnell,Jackpot D.S.,20,57.74,,
95,Laura Mantel,Super Nova,24,69.47,,
96,Mostafa Abboud,Afterglow,29,62.75,,
97,Zoe Smith,Berliner Luft WW,31,76.41,,
